"","Column1","Dnum","Country","State","County","Age","Formation","Stage","Age_Date","AmmoniteZone","LocDescr","Resume_of_Fauna","IndexFossil","Collector","Date","EandR","Map","USGS7.5","Lat_Pub","Long_Pub","Reference","Comments","last_modified","Orig_Resume_Fauna","FieldNum","FormationNew","species"
"160",160,4586,"USA","WY","Fremont","Cretaceous","Cody Shale, about 45 ft above F-39.","Campanian",NA,"","Center SW¼NE¼ sec. 36, T. 28 N., R. 90 W. Same locality as D4585","Baculites aquilaensis Reeside","","Pettinga and Reynolds","8/29/1964","OF-64-10D","Whiskey Peak ","",42.35697,-107.53032,"","","02/18/2014","Baculites aquilaensis Reeside","","Cody","Baculites aquilaensis Reeside"
"1611",161,4163,"USA","WY","Carbon","Cretaceous","Cody Shale, about 50 feet below Parkman Sandstone","Campanian",NA,"","SE1/4 sec. 1, T. 24 N., R. 83 W. Same locality as D4162","Inoceramus sp., Baculites sp.","","J. R. Gill, R. Vaughn","07/04/1963","","","",42.07556,-106.69857,"","","02/18/2014","Inoceramus sp., Baculites sp.","","Cody","Inoceramus sp."
"1612",161,4163,"USA","WY","Carbon","Cretaceous","Cody Shale, about 50 feet below Parkman Sandstone","Campanian",NA,"","SE1/4 sec. 1, T. 24 N., R. 83 W. Same locality as D4162","Inoceramus sp., Baculites sp.","","J. R. Gill, R. Vaughn","07/04/1963","","","",42.07556,-106.69857,"","","02/18/2014","Inoceramus sp., Baculites sp.","","Cody","Baculites sp."
"1621",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","Pteria cf . P. linguaeformis"
"1622",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","Ostrea cf"
"1623",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","O. russelli"
"1624",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","Crenella elegantula"
"1625",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","Ethmocardium sp."
"1626",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","Anisomyon aff"
"1627",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","A. subovatus"
"1628",162,1167,"USA","WY","Natrona","Cretaceous","Cody shale, about 50 feet below Parkman sandstone.","Campanian, Middle  80.04 MY",NA,"","NW¼ sec. 27, T. 32N., R. 85 W.","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","Baculites obtusus","E. I. Rich","08/03/1956","","","",42.71906,-107.0105,"","","02/18/2014","Pteria cf . P. linguaeformis, Ostrea cf, O. russelli, Crenella elegantula, Ethmocardium sp., Anisomyon aff, A. subovatus, Baculites obtusus.","ER-8-56","Cody","Baculites obtusus."
"163",164,4290,"USA","WY","Johnson","Cretaceous","Cody Shale, about 75 feet above D4289","Campanian",NA,"","NE1/4 sec. 13, T. 49 N., R. 83 W.  . Same locality as G63 - 54","Baculites sp.","","J. R. Gill, W. A. Cobban","09/12/1963","","","",44.22006,-106.78567,"","","02/18/2014","Baculites sp.","","Cody","Baculites sp."
"164",165,5451,"USA","WY","Carbon","Cretaceous","Cody Shale, about 75 feet below glauconitic sandstone","Campanian",NA,"","North center SW¼SE¼SE¼ sec. 4, T. 25 N., R. 89 W","Baculites sp.","","M. W. Reynolds","8/15/1966","OF-66-10D","Lamont and Bairoil ","",42.16169,-107.4679,"","","02/18/2014","Baculites sp.","","Cody","Baculites sp."
"165",166,6346,"USA","WY","Carbon","Cretaceous","Cody Shale, about 75 ft above D6345.","Campanian",NA,"","Center of SW¼SE¼ sec. 19, T. 22 N., R. 88 W","Baculites sp. (single juvenile)","","James R. Gill","08/12/1967","OF-67-7D","Rawlins Peak ","",41.85786,-107.37748,"","","02/18/2014","Baculites sp. (single juvenile)","","Cody","Baculites sp. "
"166",167,4585,"USA","WY","Fremont","Cretaceous","Cody Shale, about 750 ft below top.","Campanian",NA,"","Center SW¼NE¼ sec. 36, T. 28 N., R. 90 W.","Baculites aquilaensis Reeside","","T. E. Pettinga and M. W. Reynolds","9/29/1964","OF-64-10D","Whiskey Peak ","",42.35697,-107.53032,"","","02/18/2014","Baculites aquilaensis Reeside","","Cody","Baculites aquilaensis Reeside"
"167",168,4289,"USA","WY","Johnson","Cretaceous","Cody Shale, about 78 feet above base of unit 41 of Hose","Campanian",NA,"","NE1/4 sec. 13, T. 49 N., R. 83 W.  . Same locality as G63 - 54","Baculites sp.","","J. R. Gill","09/12/1963","","","",44.22006,-106.78567,"","","02/18/2014","Baculites sp.","","Cody","Baculites sp."
"168",169,5166,"USA","WY","Carbon","Cretaceous","Cody Shale, about 800 feet below Cody sandstone of Weimer and Guyton, about 45 feet below lower of two glauconitic sandstone","Campanian",NA,"","Center of NW¼NW¼NW¼ sec. 22 , T. 27 N.,R. 89 W.","Baculites cf. B. aquilaensis Reeside, Haresiceras natronense Reeside","","Reynolds","9/27/1965","OF-65-11D","Muddy Gap","",42.30396,-107.46284,"","","02/18/2014","Baculites cf. B. aquilaensis Reeside, Haresiceras natronense Reeside","","Cody","Baculites cf. B. aquilaensis Reeside"
"1681",169,5166,"USA","WY","Carbon","Cretaceous","Cody Shale, about 800 feet below Cody sandstone of Weimer and Guyton, about 45 feet below lower of two glauconitic sandstone","Campanian",NA,"","Center of NW¼NW¼NW¼ sec. 22 , T. 27 N.,R. 89 W.","Baculites cf. B. aquilaensis Reeside, Haresiceras natronense Reeside","","Reynolds","9/27/1965","OF-65-11D","Muddy Gap","",42.30396,-107.46284,"","","02/18/2014","Baculites cf. B. aquilaensis Reeside, Haresiceras natronense Reeside","","Cody","Haresiceras natronense Reeside"
"169",170,1742,"USA","WY","Hot Springs","Cretaceous","Cody shale, about 875 feet above the Niobrara zone","Campanian",NA,""," SE1/4 sec. 35, T. 44 N., R. 93 W.  About 25 feet below well number 2","Crassatella sp., Scaphites sp., Baculites codyensis","","George H. Horn","July, 1958","","","",43.73495,-107.98149,"","","02/18/2014","Crassatella sp., Scaphites sp., Baculites codyensis","","Cody","Crassatella sp."
"1691",170,1742,"USA","WY","Hot Springs","Cretaceous","Cody shale, about 875 feet above the Niobrara zone","Campanian",NA,""," SE1/4 sec. 35, T. 44 N., R. 93 W.  About 25 feet below well number 2","Crassatella sp., Scaphites sp., Baculites codyensis","","George H. Horn","July, 1958","","","",43.73495,-107.98149,"","","02/18/2014","Crassatella sp., Scaphites sp., Baculites codyensis","","Cody","Scaphites sp."
"1692",170,1742,"USA","WY","Hot Springs","Cretaceous","Cody shale, about 875 feet above the Niobrara zone","Campanian",NA,""," SE1/4 sec. 35, T. 44 N., R. 93 W.  About 25 feet below well number 2","Crassatella sp., Scaphites sp., Baculites codyensis","","George H. Horn","July, 1958","","","",43.73495,-107.98149,"","","02/18/2014","Crassatella sp., Scaphites sp., Baculites codyensis","","Cody","Baculites codyensis"
"170",171,5163,"USA","WY","Carbon","Cretaceous","Cody Shale, about 950 feet below Cody sandstone of Weimer and Guyton","Campanian",NA,"","Northeast corner SW¼NW¼SE¼ sec. 5 , T. 27 N., R. 89 W.","Baculites sp.","","Reynolds","9/25/1965","OF-65-11D","Muddy Gap","",42.33856,-107.4912,"","","02/18/2014","Baculites sp.","","Cody","Baculites sp."
"171",172,5452,"USA","WY","Carbon","Cretaceous","Cody Shale, about same level as D5450","Campanian",NA,"","SE¼SW¼SE¼SE¼ sec. 4, T. 25 N., R. 89 W.","Baculites aquilaensis Reeside, Scaphites sp., Haresiceras sp.","","M. W. Reynolds","8/15/1966","OF-66-10D","Lamont and Bairoil ","",42.16089,-107.46727,"","","02/18/2014","Baculites aquilaensis Reeside, Scaphites sp., Haresiceras sp.","","Cody","Baculites aquilaensis Reeside"
"1711",172,5452,"USA","WY","Carbon","Cretaceous","Cody Shale, about same level as D5450","Campanian",NA,"","SE¼SW¼SE¼SE¼ sec. 4, T. 25 N., R. 89 W.","Baculites aquilaensis Reeside, Scaphites sp., Haresiceras sp.","","M. W. Reynolds","8/15/1966","OF-66-10D","Lamont and Bairoil ","",42.16089,-107.46727,"","","02/18/2014","Baculites aquilaensis Reeside, Scaphites sp., Haresiceras sp.","","Cody","Scaphites sp."
"1712",172,5452,"USA","WY","Carbon","Cretaceous","Cody Shale, about same level as D5450","Campanian",NA,"","SE¼SW¼SE¼SE¼ sec. 4, T. 25 N., R. 89 W.","Baculites aquilaensis Reeside, Scaphites sp., Haresiceras sp.","","M. W. Reynolds","8/15/1966","OF-66-10D","Lamont and Bairoil ","",42.16089,-107.46727,"","","02/18/2014","Baculites aquilaensis Reeside, Scaphites sp., Haresiceras sp.","","Cody","Haresiceras sp."
"172",175,13115,"USA","WY","Johnson","Cretaceous","Cody Shale, between level of D13116 and the lowest sampled bentonite ","Campanian, Lower about 81.7 MY",NA,"","Burnett Creek drainage NE1/4 NW1/4 sec. 13, T. 49 N., R. 83 W., Lat 44°13' 20, long 106°47' 40","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Merewether, Cobban","6/18/1990","SPR-90-4D","Klondike","",44.22222,-106.79444,"","","02/18/2014","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Cody","Inoceramus balticus Boehm"
"1721",175,13115,"USA","WY","Johnson","Cretaceous","Cody Shale, between level of D13116 and the lowest sampled bentonite ","Campanian, Lower about 81.7 MY",NA,"","Burnett Creek drainage NE1/4 NW1/4 sec. 13, T. 49 N., R. 83 W., Lat 44°13' 20, long 106°47' 40","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Merewether, Cobban","6/18/1990","SPR-90-4D","Klondike","",44.22222,-106.79444,"","","02/18/2014","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Cody","Baculites aquilaensis Reeside"
"1722",175,13115,"USA","WY","Johnson","Cretaceous","Cody Shale, between level of D13116 and the lowest sampled bentonite ","Campanian, Lower about 81.7 MY",NA,"","Burnett Creek drainage NE1/4 NW1/4 sec. 13, T. 49 N., R. 83 W., Lat 44°13' 20, long 106°47' 40","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Merewether, Cobban","6/18/1990","SPR-90-4D","Klondike","",44.22222,-106.79444,"","","02/18/2014","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Cody","B. haresi Reeside"
"1723",175,13115,"USA","WY","Johnson","Cretaceous","Cody Shale, between level of D13116 and the lowest sampled bentonite ","Campanian, Lower about 81.7 MY",NA,"","Burnett Creek drainage NE1/4 NW1/4 sec. 13, T. 49 N., R. 83 W., Lat 44°13' 20, long 106°47' 40","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Merewether, Cobban","6/18/1990","SPR-90-4D","Klondike","",44.22222,-106.79444,"","","02/18/2014","Inoceramus balticus Boehm, Baculites aquilaensis Reeside, B. haresi Reeside, Scaphites hippocrepis (DeKay) I? ","","Cody","Scaphites hippocrepis  I? "
"173",176,5576,"USA","WY","Carbon","Cretaceous","Cody Shale, float from higher than D4757","Campanian, Middle",NA,"","NW¼NW¼SW¼ sec. 20, T. 23 N., R. 79 W.","Baculites cf. B. mclearni Landes.","","J. R. Gill","09/06/1966","OF-66-8D","","",41.9496,-106.32527,"PP 667","","02/18/2014","Baculites cf. B. mclearni Landes.","","Cody","Baculites cf. B. mclearni Landes."
"174",179,6313,"USA","WY","Carbon","Cretaceous","Cody Shale, from 20 ft below 20-foot sandstone in upper part.","Campanian",NA,"","SE¼NW¼ sec. 7, T. 22 N., R. 88 W","Baculites sp.","","James R. Gill","08/08/1967","OF-67-7D","Rawlins Peak","",41.8937,-107.3822,"","","02/18/2014","Baculites sp.","","Cody","Baculites sp."
"175",180,4694,"USA","WY","Washakie","Cretaceous","Cody Shale, from 25-foot glauconitic sandstone bed 1,120 ft below top.","Campanian",NA,"","NE¼NW¼ sec. 26, T. 44 N, R. 94 W.  ","Baculites aquilaensis Reeside, Glyptoxoceras novimexicanum (Reeside)","","Gill & Givens","1964","OF-64-12D","","",43.75822,-108.10899,"PP 550 B","","02/18/2014","Baculites aquilaensis Reeside, Glyptoxoceras novimexicanum (Reeside)","","Cody","Baculites aquilaensis Reeside"
"1751",180,4694,"USA","WY","Washakie","Cretaceous","Cody Shale, from 25-foot glauconitic sandstone bed 1,120 ft below top.","Campanian",NA,"","NE¼NW¼ sec. 26, T. 44 N, R. 94 W.  ","Baculites aquilaensis Reeside, Glyptoxoceras novimexicanum (Reeside)","","Gill & Givens","1964","OF-64-12D","","",43.75822,-108.10899,"PP 550 B","","02/18/2014","Baculites aquilaensis Reeside, Glyptoxoceras novimexicanum (Reeside)","","Cody","Glyptoxoceras novimexicanum "
"176",181,6351,"USA","WY","Carbon","Cretaceous","Cody Shale, from 320 ft below D6350.","Campanian",NA,"","SE¼ sec. 31, T. 22 N., R. 88 W","Inoceramus sp., Baculites sp,","","James R. Gill","8/14/1967","OF-67-7D","Rawlins Peak ","",41.83085,-107.37503,"","","02/18/2014","Inoceramus sp., Baculites sp,","","Cody","Inoceramus sp."
"1761",181,6351,"USA","WY","Carbon","Cretaceous","Cody Shale, from 320 ft below D6350.","Campanian",NA,"","SE¼ sec. 31, T. 22 N., R. 88 W","Inoceramus sp., Baculites sp,","","James R. Gill","8/14/1967","OF-67-7D","Rawlins Peak ","",41.83085,-107.37503,"","","02/18/2014","Inoceramus sp., Baculites sp,","","Cody","Baculites sp"
"1762",181,6351,"USA","WY","Carbon","Cretaceous","Cody Shale, from 320 ft below D6350.","Campanian",NA,"","SE¼ sec. 31, T. 22 N., R. 88 W","Inoceramus sp., Baculites sp,","","James R. Gill","8/14/1967","OF-67-7D","Rawlins Peak ","",41.83085,-107.37503,"","","02/18/2014","Inoceramus sp., Baculites sp,","","Cody",""
"177",182,6317,"USA","WY","Carbon","Cretaceous","Cody Shale, from 332 ft below lowest ridgle - forming sandstone in Mesaverde.","Campanian, Middle  80.04 MY",NA,"","Center of NE¼ sec. 12, T. 22 N., R. 89 W.","Baculites obtusus Meek.","","James R. Gill","08/07/1967","OF-67-7D","Rawlins Peak","",41.89596,-107.39453,"","","02/18/2014","Baculites obtusus Meek.","","Cody","Baculites obtusus Meek."
"178",183,13197,"USA","MT","Yellowstone","Cretaceous","Cody Shale, from 6'2 below top of Turner Member ","Campanian",NA,"","South facing slope of ravine just south of Billings along southside of Yellowstone River SW1/4 NW1/4 NE1/4 sec. 31, T. 1 S., R. 26 E.","Baculites yokoyamai ","","Cobban","7/28/1991","0","Yegen 7-1/2' ","",45.70817,-108.56229,"","","02/18/2014","Baculites yokoyamai ","","Cody","Baculites yokoyamai "
"179",184,5550,"USA","WY","Carbon","Cretaceous","Cody Shale, from 70 ft below H sandstone","Campanian",NA,"","NW 1/4 sec. 23, T. 22 N., R. 86 W.","Discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","J. R. Gill","8/20/1966","OF-66-3D","","",41.86726,-107.07525,"PP 667","","02/18/2014","discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","Cody","Discinid brachiopod "
"1791",184,5550,"USA","WY","Carbon","Cretaceous","Cody Shale, from 70 ft below H sandstone","Campanian",NA,"","NW 1/4 sec. 23, T. 22 N., R. 86 W.","Discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","J. R. Gill","8/20/1966","OF-66-3D","","",41.86726,-107.07525,"PP 667","","02/18/2014","discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","Cody","Ostrea sp."
"1792",184,5550,"USA","WY","Carbon","Cretaceous","Cody Shale, from 70 ft below H sandstone","Campanian",NA,"","NW 1/4 sec. 23, T. 22 N., R. 86 W.","Discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","J. R. Gill","8/20/1966","OF-66-3D","","",41.86726,-107.07525,"PP 667","","02/18/2014","discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","Cody","Nucula sp."
"1793",184,5550,"USA","WY","Carbon","Cretaceous","Cody Shale, from 70 ft below H sandstone","Campanian",NA,"","NW 1/4 sec. 23, T. 22 N., R. 86 W.","Discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","J. R. Gill","8/20/1966","OF-66-3D","","",41.86726,-107.07525,"PP 667","","02/18/2014","discinid brachiopod (attached to oyster), Ostrea sp., Nucula sp.,","","Cody",""
"180",185,6316,"USA","WY","Carbon","Cretaceous","Cody Shale, from 85 ft above D6315.","Campanian, Middle  80.04 MY",NA,"","Center of NE¼ sec. 12, T. 22 N., R. 89 W.","Baculites obtusus Meek.","","James R. Gill","08/07/1967","OF-67-7D","Rawlins Peak","",41.89596,-107.39453,"","","02/18/2014","Baculites obtusus Meek.","","Cody","Baculites obtusus Meek."
"181",186,4633,"USA","WY","Park","Cretaceous","Cody Shale, from a 25-foot soft sadstone and shale unit about 30 feet above G64-19-6.","Campanian",NA,"","NW¼SW¼SE¼ sec. 26, T. 58 N., R. 103 W. Same locality as G64-19-3.","Inoceramus cf. I. Cycloides Wegner, Baculites sp.","","Gill and Cobban","9/21/1964","OF-64-14D","","",44.97414,-109.27089,"","","02/18/2014","Inoceramus cf. I. Cycloides Wegner, Baculites sp.","","Cody","Inoceramus cf. I. Cycloides Wegner"
"1811",186,4633,"USA","WY","Park","Cretaceous","Cody Shale, from a 25-foot soft sadstone and shale unit about 30 feet above G64-19-6.","Campanian",NA,"","NW¼SW¼SE¼ sec. 26, T. 58 N., R. 103 W. Same locality as G64-19-3.","Inoceramus cf. I. Cycloides Wegner, Baculites sp.","","Gill and Cobban","9/21/1964","OF-64-14D","","",44.97414,-109.27089,"","","02/18/2014","Inoceramus cf. I. Cycloides Wegner, Baculites sp.","","Cody","Baculites sp."
"182",187,8846,"USA","WY","Hot Springs","Cretaceous","Cody Shale, from a 4 - in fine - grained sandstone 62' above base ","Campanian",NA,"","Near top of hill and east of road in the NW1/4 NW1/4 NE1/4 sec. 27, T. 43 N., R. 91 W.","Baculites sp","","W. A. Cobban ","07/10/1973","","Packsaddle Creek ","",43.67381,-107.76424,"","","02/18/2014","Baculites sp","","Cody","Baculites sp"
"183",188,8842,"USA","WY","Hot Springs","Cretaceous","Cody Shale, from a gray limestone concretions 91' above base ","Campanian",NA,"","Near top of hill and east of road NW1/4 NW1/4 NE1/4 sec. 27, T. 43 N., R. 91 W.","Forresteria","","W. A. Cobban ","07/10/1973","","Packsaddle Creek  ","",43.67381,-107.76424,"","","02/18/2014","Forresteria","","Cody","Forresteria"
"184",189,5556,"USA","WY","Carbon","Cretaceous","Cody Shale, from above G sandstone","Campanian",NA,"","NW¼NW¼NE¼ sec. 7, T. 24 N., R. 86 W.","Ostrea glabra Meek and Hayden, Anomia sp., Brachidontes sp.","","J. R. Gill","8/24/1966","OF-66-3D","","",42.07153,-107.14842,"","","02/18/2014","Ostrea glabra Meek and Hayden, Anomia sp., Brachidontes sp.","","Cody","Ostrea glabra Meek and Hayden"
"1841",189,5556,"USA","WY","Carbon","Cretaceous","Cody Shale, from above G sandstone","Campanian",NA,"","NW¼NW¼NE¼ sec. 7, T. 24 N., R. 86 W.","Ostrea glabra Meek and Hayden, Anomia sp., Brachidontes sp.","","J. R. Gill","8/24/1966","OF-66-3D","","",42.07153,-107.14842,"","","02/18/2014","Ostrea glabra Meek and Hayden, Anomia sp., Brachidontes sp.","","Cody","Anomia sp."
"1842",189,5556,"USA","WY","Carbon","Cretaceous","Cody Shale, from above G sandstone","Campanian",NA,"","NW¼NW¼NE¼ sec. 7, T. 24 N., R. 86 W.","Ostrea glabra Meek and Hayden, Anomia sp., Brachidontes sp.","","J. R. Gill","8/24/1966","OF-66-3D","","",42.07153,-107.14842,"","","02/18/2014","Ostrea glabra Meek and Hayden, Anomia sp., Brachidontes sp.","","Cody","Brachidontes sp."
"185",191,11754,"USA","WY","Big Horn","Cretaceous","Cody Shale, from brown - weathering limestone concretions in lower part ","Campanian",NA,"","About 12 miles by road northeast of Greybull, Wyoming ","Metoicoceras ","","Burkholder and others","05/08/1953","0","","",44.52491,-107.83479,"","","02/18/2014","Metoicoceras ","","Cody","Metoicoceras "
"186",192,4726,"USA","WY","Natrona","Cretaceous","Cody shale, from brown ridge forming glauconnitic ferruginous sandstone 1,080 ft below top .","Campanian",NA,"","NW¼NW¼SW¼ sec.14, T. 34 S.., R. 89 W.","Ostrea cf. O. inornata Meek & Hayden.","","W. A. Cobban","9/16/1964","OF-64-15D","","",42.91788,-107.48094,"","","02/18/2014","Ostrea cf. O. inornata Meek & Hayden.","","Cody","Ostrea cf. O. inornata Meek & Hayden."
"187",193,4182,"USA","WY","Big Horn","Upper Cretaceous","Cody Shale, from concretions 395 feet above top of Niobrara Member","Campanian, Lower about 81.7 MY",NA,"","NW1/4 NW1/4 NW1/4 sec. 20, T. 49 N., R. 91 W.","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","Scaphites hippocrepis","J. R. Gill, R. Vaughn, Burkholder, Cobban","5/9/63,7/28/62","","","",44.2105,-107.8218,"PP 619","","02/18/2014","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","","Cody","Baculites aquilaensis Reeside"
"1871",193,4182,"USA","WY","Big Horn","Upper Cretaceous","Cody Shale, from concretions 395 feet above top of Niobrara Member","Campanian, Lower about 81.7 MY",NA,"","NW1/4 NW1/4 NW1/4 sec. 20, T. 49 N., R. 91 W.","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","Scaphites hippocrepis","J. R. Gill, R. Vaughn, Burkholder, Cobban","5/9/63,7/28/62","","","",44.2105,-107.8218,"PP 619","","02/18/2014","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","","Cody","Scaphites hippocrepis "
"1872",193,4182,"USA","WY","Big Horn","Upper Cretaceous","Cody Shale, from concretions 395 feet above top of Niobrara Member","Campanian, Lower about 81.7 MY",NA,"","NW1/4 NW1/4 NW1/4 sec. 20, T. 49 N., R. 91 W.","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","Scaphites hippocrepis","J. R. Gill, R. Vaughn, Burkholder, Cobban","5/9/63,7/28/62","","","",44.2105,-107.8218,"PP 619","","02/18/2014","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","","Cody","Scaphites aquisgranensis Schluter"
"1873",193,4182,"USA","WY","Big Horn","Upper Cretaceous","Cody Shale, from concretions 395 feet above top of Niobrara Member","Campanian, Lower about 81.7 MY",NA,"","NW1/4 NW1/4 NW1/4 sec. 20, T. 49 N., R. 91 W.","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","Scaphites hippocrepis","J. R. Gill, R. Vaughn, Burkholder, Cobban","5/9/63,7/28/62","","","",44.2105,-107.8218,"PP 619","","02/18/2014","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Haresiceras placentiforme Reeside","","Cody","Haresiceras placentiforme Reeside"
