"","Column1","Dnum","Country","State","County","Age","Formation","Stage","Age_Date","AmmoniteZone","LocDescr","Resume_of_Fauna","IndexFossil","Collector","Date","EandR","Map","USGS7.5","Lat_Pub","Long_Pub","Reference","Comments","last_modified","Orig_Resume_Fauna","FieldNum","FormationNew","species"
"53",23,1990,"USA","WY","Lincoln","Cretaceous","Adaville formation, 2,000 feet above base and 800 feet below top.","Campanian",NA,"","Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W.","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","J.L. Rau, W. W. Rubey","08/03/1958","","Kemmerer","",41.70408,-110.63838,"","","02/18/2014","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","Adaville","Corbicula? Sp."
"54",23,1990,"USA","WY","Lincoln","Cretaceous","Adaville formation, 2,000 feet above base and 800 feet below top.","Campanian",NA,"","Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W.","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","J.L. Rau, W. W. Rubey","08/03/1958","","Kemmerer","",41.70408,-110.63838,"","","02/18/2014","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata","","Adaville","Corbula aff. C. perundata"
"6",24,1991,"USA","WY","Lincoln","Cretaceous","Adaville formation, 2,300 feet above base and 500 feet below top.","Campanian",NA,"","Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W. Same locality as D1990.","Ostrea soleniscus","","J.L. Rau, W. W. Rubey","08/03/1958","","Kemmerer","",41.70408,-110.63838,"","","02/18/2014","Ostrea soleniscus","","Adaville","Ostrea soleniscus"
"7",25,1992,"USA","WY","","Cretaceous","Adaville formation, 680 feet above base.","Campanian",NA,"","SE1/4 NW1/4 sec.22, T. 20 N., R. 117 W.","Ostrea coalvillensis","","Scott and Schneider","7/23/1958","","","",41.70407,-110.62821,"","","02/18/2014","Ostrea coalvillensis","","Adaville","Ostrea coalvillensis"
"8",722,2412,"USA","WY","Uinta","Cretaceous","Near top exposed Adaville formation (2,900 +_ feet above the Lazeart sandstone.)","Campanian",NA,"","Fourteen miles east-northeast of Evanston, in center of N1/2NE1/4 sec. 29, T. 16 N., R. 118 W.","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)","","Jim Faber, 1959","1959","0","","",41.34032,-110.7437,"","","02/18/2014","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)","","Adaville","Proparreysia letsoni "
"81",722,2412,"USA","WY","Uinta","Cretaceous","Near top exposed Adaville formation (2,900 +_ feet above the Lazeart sandstone.)","Campanian",NA,"","Fourteen miles east-northeast of Evanston, in center of N1/2NE1/4 sec. 29, T. 16 N., R. 118 W.","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)","","Jim Faber, 1959","1959","0","","",41.34032,-110.7437,"","","02/18/2014","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)","","Adaville","Fusconaia sp."
"82",722,2412,"USA","WY","Uinta","Cretaceous","Near top exposed Adaville formation (2,900 +_ feet above the Lazeart sandstone.)","Campanian",NA,"","Fourteen miles east-northeast of Evanston, in center of N1/2NE1/4 sec. 29, T. 16 N., R. 118 W.","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)","","Jim Faber, 1959","1959","0","","",41.34032,-110.7437,"","","02/18/2014","Proparreysia letsoni (Whitfield), Fusconaia sp., Tulotomops cf. T. thompsoni (Whit)","","Adaville","Tulotomops cf. T. thompsoni "
"9",52,8826,"USA","AR","Hemstead","Cretaceous","Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm)","Campanian",NA,"","East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ","","B. J. Clardy, R. E. Burkhholder, W. A. Cobban ","04/10/1973","","Columbua 7-1/2 quad","",33.807,-93.8098,"","","02/18/2014","Nostoceras, Baculites ","","Annona","Nostoceras"
"91",52,8826,"USA","AR","Hemstead","Cretaceous","Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm)","Campanian",NA,"","East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ","","B. J. Clardy, R. E. Burkhholder, W. A. Cobban ","04/10/1973","","Columbua 7-1/2 quad","",33.807,-93.8098,"","","02/18/2014","Nostoceras, Baculites ","","Annona","Baculites "
"10",340,9210,"USA","AR","Howard","Cretaceous ","Float from lower part of Annona Chalk but higher thanD9209","Campanian",NA,"","From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.","Heteromopph ammonoids ","","B.F.Clardy, R.E.Burkholder, and W.A. Cobban ","09/11/1974","CD-74-4D","Mineral Springs South","",33.7698,-93.93389,"","","02/18/2014","Heteromopph ammonoids ","","Annona","Heteromopph ammonoids "
"11",754,9209,"USA","AR","Howard","Cretaceous ","Phosphatic nodule zone near base of Annona Chalk","Campanian",NA,"","From floor of coment plant quarry at Okay, NW1/4 SW1/4 sec. 30, T. 11 S., R. 27 W.","Heteromopph ammonoids ","","B.F.Clardy, R.E.Burkholder, and W.A. Cobban ","09/11/1974","CD-74-4D","Mineral Springs South   ","",33.7698,-93.93389,"","","02/18/2014","Heteromopph ammonoids ","","Annona","Heteromopph ammonoids "
"12",26,13607,"USA","CO","Pueblo","Upper Cretaceous","Apache Creek Sandy Mbr., from a rusty to reddish ferruginous concretionary bed 32' below top","",NA,"","Beside service road just west of Interstate 25 SW1/4NE1/4SE1/4SW1/4 sec. 1, T. 20 S., R. 65 W.","Ichthyodectes scales","","Cobban","03/11/1995","0","Northwest Pueblo  ","",38.33332,-104.61889,"","","02/18/2014","Ichthyodectes scales","","Apache","Ichthyodectes scales"
"13",27,13606,"USA","CO","Pueblo","Upper Cretaceous","Apache Creek Sandy Mbr., from large yellow-tan ls. Concretions 6.5 feet below top","Campanian, Middle  80.04 MY",NA,"","Just south of Platteville Boulevard N1/2N1/2SW1/4 sec. 1, T. 20 S., R. 65 W.","Baculites obtusus","","Cobban","03/10/1995","0","Northwest Pueblo  ","",38.33747,-104.62168,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
"14",28,4845,"USA","CO","Fremont","Cretaceous","Apache Creek Sandy Member","Campanian, Middle  80.04 MY",NA,"","SW¼NW¼SE¼ sec. 9, T. 18S., R.70W.","Baculites obtusus","","G. R. Gill","06/02/1965","","Canon City ","",38.49499,-105.22596,"","","02/18/2014","Baculites obtusus","","Apache","Baculites obtusus"
