Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum
3051,USA,WY,Carbon,Upper Cretaceous,From a limestone concretionary zone 235 feet above base of Steele shale.,Campanian,,,"NW1/4 sec. 26, T. 19 N., R. 88 W.","Unintacrinus socialis Grinnell, Ostrea congesta Conrad, Baculites sp., Desmoscaphites bassleri",Uintacrinus-Marsupites,J.H. Smith,1961,0,,,41.6014,-107.2779,"PP 450 D, PP 667, MF-1548, Bull 2113",,02/18/2014,"Unintacrinus socialis Grinnell, Ostrea congesta Conrad, Baculites sp.",
3047,USA,WY,Carbon,Cretaceous,From a limestone concretionary zone in Steele shale 702 feet below top.,"Campanian, Middle  80.04 MY",,,"NE1/4 sec. 34, T. 19 N., R. 86 W","Inoceramus sp., Baculites obtusus Meek, Baculites sp. (weak flank ribs) ",,J.H. Smith,1961,0,,,41.58039,-107.06032,PP 667,,02/18/2014,"Inoceramus sp., Baculites obtusus Meek ",
3244,USA,WY,Natrona,Upper Cretaceous,From a limstone concretions in Steele Shale 35 feet below Fishtooth sandstone.,"Campanian, Lower about 81.7 MY",,,"SE1/4 sec. 35, T. 41 N., R. 80 W.","Inoceramus proximus Tuomey, Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",Scaphites hippocrepis,W. A. Cobban,9/16/1990,0,Goverenment Creek,,43.4811,-106.429,PP 619,,02/18/2014,"Inoceramus proximus Tuomey, Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",
2322,USA,WY,,Cretaceous,From a sandstone about 200 feet below the top of the Blair formation.,Campanian,,,"NW1/4SW1/4 sec. 13, T. 20 N., R. 103 W.","Hardoquinia taylori (Warren) Protodonax magnus Vokes, Protodonax exaquilius Vokes, Corbula aff. C. chacoensis Stanton, Turritella n. sp.",,J. H. Smith,1959,,,,41.70962,-108.98132,,,02/18/2014,"Hardoquinia taylori (Warren) Protodonax magnus Vokes, Protodonax exaquilius Vokes, Corbula aff. C. chacoensis Stanton, Turritella n. sp.",
2314,USA,WY,Sweetwater,Cretaceous,"From a sandstone approximately 2,178 feet above top of Baxter formation.",,,,"NE1/4NE1/4 sec. 26, T. 16 N., R. 103 W.","Inoceramus subcompressus Meek & Hayden Ostrea russelli Landes, Pecten (Syncyclonema) halli Gabb, Cymella montanenis Henderson, Legumen ellipticum Conrad",,J. H. Smith,1959,,,,41.34352,-108.97043,,,02/18/2014,"Inoceramus subcompressus Meek & Hayden Ostrea russelli Landes, Pecten (Syncyclonema) halli Gabb, Cymella montanenis Henderson, Legumen ellipticum Conrad",
3050,USA,WY,,Cretaceous,From a sandy concretionary zone about 950 feet above base of Steele shale.,Campanian,,,"NE1/4 sec. 26, T. 19 N., R. 88 W.","Inoceramus proximus Tuomey, Baculites sp., Scaphites sp.",,J.H. Smith,1961,0,,,41.59535,-107.27128,,,02/18/2014,"Inoceramus proximus Tuomey, Baculites sp., Scaphites sp.",
3053,USA,WY,Carbon,Upper Cretaceous,"From about 1,468 feet above base of Steele shale.","Campanian, Lower about 81.7 MY",,,"NW1/4 sec. 14, T. 19 N., R. 88 W.","Baculites sp. Glyptoxoceras sp., Scaphites hippocrepis (dekay), Haresiceras placentiforme Reeside",Haresiceras placentiform and H. natronense,J.H. Smith,1961,0,,,41.6251,-107.2803,"PP 619, PP 667, MF-1548, PP 454",,02/18/2014,"Baculites sp. Glyptoxoceras sp., Scaphites hippocrepis (dekay), Haresiceras placentiforme Reeside",
6267,USA,WY,Carbon,Cretaceous,From below the lowest ridge-forming sandstone of Mesaverde,Campanian,,,"NE¼SE¼ sec. 19, T. 20 N., R. 82 W.",Baculites sp,,Jame R. Gill,7/25/1967,OF-67-7D,Coal Bank Basin,,41.6896,-106.65329,,,02/18/2014,Baculites sp,
3273,USA,MT,Blaine,Cretaceous,From bentonite zone in lower part of Claggett Shale.,"Campanian, Middle  80.04 MY",,,"SE1/4NW1/4 sec . 31, T. 23 N., R. 17 E.",Baculites obtusus Meek.,Baculites obtusus,J. G. Gill,1961,0,,,47.72323,-109.60074,,,02/18/2014,Baculites obtusus Meek.,
6818,USA,NM ,Sierra,Cretaceous,From brown - wearthering concretionary sandstone forming lowest part of Mesaverde Formation of Kelly anf Silver.,,,,"Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Mytiloides mytiloides (Mantell) (Schlotheim), Crassostra soleniscus (Meek), Modiolus sp., Plicatula sp., Cymbophora sp., Gyrodes cf. G. conradi Meek, Rostellinda? Sp., Indet. Molds.","Mytiloides nodosoites, M. mytiloides",Landis & Cobban,10/1/1968,OF-68-5D,Engle ,,33.06405,-107.18725,,"Mytilodies mytiloides (Mantell) replaces Inoceramus labiatus of earlier reports (Cobban, W. A., OF-71-3Da, 4/1974).",02/18/2014,Inoceramus labiatus (Schlotheim) ,L68-57A
6819,USA,NM ,Sierra,Cretaceous,From brown - wearthering sandstone concretions  12 ft above D6818.,,,,"Durham Ranch section, about SW1/4 NE1/4 sec. 30, T. 14 S., R. 3 W.","Crassostrea soleniscus (Meek), Inoceramus sp., Pholadomya sp., Cymbophora utahensis (Meek).",,Landis & Cobban,10/1/1968,OF-68-5D,Engle,,33.06405,-107.18725,,,02/18/2014,Crassostrea soleniscus (Meek),L68-57B
2201,USA,MT,Lewis and Clark,Cretaceous,From brown- weathered calcareous sandstone concretionary zone near middle of Virgelle sandstone ,,,,"Southeast nose of low hill about 700 feet west of Hwy.287, and 1400 feet south of Rock Creek","Perissonota sp., Pteria n. sp., Tellina? Sp, Mactra arenaria",,"R.G. Schmidt, H.R. Shaw",7/1/1959,,Photo AZU-5P-130,Wolf Creek,47.0428,-112.0512,,,02/18/2014,"Perissonota sp., Pteria n. sp., Tellina? Sp, Mactra arenaria",Photo AZU-5P-130
1432,USA,WY,Big Horn,Cretaceous,From calc. septarian concretions 960 feet above base of Cody shale.,Campanian,,,"N½N½ sec, 29, T. 55 N., R. 95 W.","Nemodon sp., Parmicorbula ? Sp., Turritella sp., Baculites codyensis Reeside.",,Robert L. Rioux,1957,,North Emblem Reservoir,,44.72156,-108.31963,,,02/18/2014,"Nemodon sp., Parmicorbula ? Sp., Turritella sp., Baculites codyensis Reeside.",
1433,USA,WY,Big Horn,Cretaceous,"From calc. septarian concretions that form a ledge 1,940 feet above the base of Cody shale.",Campanian,,,"NE¼NW¼ sec. 29, T. 55 N., R. 95 W.","Inoceramus cf. I. Proximus Tuomey, Eutrephoceras alcesense Reeside, Scaphites aquilaensis Reeside Baculites haresi Reeside.",,Robert L. Rioux,1957,,North Emblem Reservoir,,44.72177,-108.32688,,,02/18/2014,"Inoceramus cf. I. Proximus Tuomey, Eutrephoceras alcesense Reeside, Scaphites aquilaensis Reeside Baculites haresi Reeside.",
