Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum
14667,USA,CO,Delta,Cretaceous,"""Blue Hill"" Member of Mancos Shale",,,,"NW1/4 NE1/4 sec. 20, T. 51N., R. 9W.","Pseudoperna bentonensis, Inoceramus sp. (probably I. fragilis) bit of an ammonite (probably Collignoniceras woollgari)",,Noe,7/9/2007,,,Olathe NW,38.67656,-107.90064,,,02/18/2014,,DN-168
10235,USA,UT,Garfield,Cretaceous,107 m above base of Masuk Shale,,,,"1250 fel, 1700 fsl, sec. 26, T. 31S., R. 8 E. West side of prominant butte at top of Blind Trail, at elevation 6000'","Viviparus Panguitchensis ? , Viviparus sp. form A , Viviparus sp. , Cf. Lioplacodes sp. , Physa sp. , Physidae : gen. sp. indet. , Gastropoda : indet. , Cf. Corbula sp.  ",,Ben E. Law,11-07-1975,CD-75-15D (John Hanley),Mt Ellen,Steele Butte,38.079,-110.99155,,,02/18/2014,"Viviparus Panguitchensis ? , Viviparus sp. form A , Viviparus sp. , Cf. Lioplacodes sp. , Physa sp. , Physidae : gen. sp. indet. , Gastropoda : indet. , Cf. Corbula sp.  ",BEL775
2567,USA,WY,Natrona,Cretaceous,30' below big bentonite in Steele shale.,Campanian,,,"West Salt Creek oil field SW1/4NE1/4 sec. 29, T. 40 N., R. 79 W.",Baculites,,W. A. Cobban,7/13/1960,0,,,43.40769,-106.3677,PP 550 B,,02/18/2014,Baculites,
2569,USA,WY,Natrona,Cretaceous,8' above the big bentonite bed in Steele shale.,Campanian,,,"West Salt Creek oil field SW1/4NE1/4 sec. 29, T. 40 N., R. 79 W.",Baculites,,"J. R. Gill, W. A. Cobban",7/13/1960,0,,,43.40769,-106.3677,PP 550 B,,02/18/2014,Baculites,
12932,USA,WY,Crook,Cretaceous,A little higher in the Gammon member,,,,"SE1/4NE1/4NE1/4 sec. 25, T. 56 N., R. 68 W. 44°48 ' 50 "" lat., 104°57 ' long",Baculites sp.,,P. L. Hansley,06.27.88,SPR-88-2D-6D,Cedar Ridge  ,,44.81389,-104.95,,,02/18/2014,Baculites sp.,CR-88-10
2127,USA,UT,Carbon,Cretaceous,About 10 feet above Aberdeen sandstone member of Blackhawk formation,Campanian,,,"Road cut in Soldier Canyon in NE1/4  sec. 18, T. 13 S., R. 12 E.",Anomia micronema Meek,,A. D. Zapp,5/25/1959,"F-59-11D, 18D",,,39.69916,-110.61202,,,02/18/2014,Anomia micronema Meek,
3298,USA,WY,Park,Cretaceous,About 10 feet above base of Claggett Formation,Campanian,,,"SW1/4 NE1/4 sec. 19, T. 58 N., R. 99 W. Same locality as D3297",Tellina? Sp.,,J. R. Gill,1961,0,,,44.99536,-108.85265,,,02/18/2014,Tellina? Sp.,
7774,USA,CO ,San Miguel,Cretaceous,About 100 ft above base of Mesaverde Formation ,Campanian,,,"SE1/4 SW1/4 sec. 19, T. 42 N., R. 13 W",Baculites sp.,,J. R. Gill ,9/17/1970,OF-70-9D,Lone Cone,,37.88289,-108.34887,,,02/18/2014,Baculites sp.,
3095,USA,Wyoming,Carbon,Upper Cretaceous,About 1053 feet above base of Steele shale.,"Campanian, Lower about 81.7 MY",,,"C. N 1/2 sec.23, T.19N., R.88W.","Ostrea sp., Baculites sp., Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",Scaphites hippocrepis,J.H. Smith,5/14/1905,0,,,41.6108,-107.2757,"PP 619, PP 667, MF-1548",,02/18/2014,"Ostrea sp., Baculites sp., Scaphites hippocrepis (Dekay), Scaphites aquilaensis Reeside",
5306,USA,UT,Kane,Cretaceous,About 130-135' above white sandstone bed in middle member of straight Cliffs formation,Campanian,,,"Center of SE¼, 9-40-5,",Cardium,,Fred Peterson,7/3/64; 9/29/65,,Straight Cliffs # 2 ,,37.34452,-111.36626,,,02/18/2014,Cardium,
1674,USA,WY,Washakie,Cretaceous,About 200 feet above base of Mesaverde formation,Campanian,,,"NE¼NW¼ sec. 26, T. 44 N., R. 92 W.","Inoceramus n. sp., Baculites haresi.",,G. H. Horn,1957,,,,43.76041,-107.86942,PP 550 B,,02/18/2014,"Inoceramus n. sp., Baculites haresi.",
1680,USA,WY,Washakie,Cretaceous,About 300 feet below top of Cody shale.,Campanian,,,"Power line road, about 550 feet east of common corner of secs. 23, 24, 26, 27, T.  44 N., R. 93 W. ","Inoceramus sp., Lucina sp., Baculites aquilaensis",,G. H. Horn,1957,,,,43.76041,-107.99505,PP 550 B,,02/18/2014,"Inoceramus sp., Lucina sp., Baculites aquilaensis",
10361,USA,NM,Socorro,Cretaceous,About 4' above base of Mesaverde Fm.,Campanian,,,"Carthage area, in the NE1/4 SW1/4  sec. 15, T. 5 S. , R. 2 E. Carthage Coal Field Section",Lopha sannionis,Lopha sannionis,Smith & Hook ,1/24/1977,0,Carthage ,,33.8718,-106.72358,NM Guidebook 2012,,02/18/2014,Lopha aff. sannionis,
2566,USA,WY,Natrona,Cretaceous,About 50' below big bentonite bed in Steele shale.,Campanian,,,"West Salt Creek oil field SW1/4NE1/4 sec. 29, T. 40 N., R. 79 W.","Baculites, Placenticeras",,J. R. Gill,7/13/1960,0,,,43.40769,-106.3677,PP 550 B,,02/18/2014,"Baculites, Placenticeras",
5305,USA,UT,Kane,Cretaceous,About 65' above white sandstone bed in middle member of straight Cliffs formation,Campanian,,,"SE¼SE¼, 9-40-5",Inoceramus grandis,,Fred Peterson,9/29/1965,,Straight Cliffs # 2,,37.34236,-111.36382,,,02/18/2014,Inoceramus grandis,
3056,USA,WY,Teton,Cretaceous,About middle of Adaville formation.,Campanian,,,"T. 20 N., R. 117 W.",Corbula undifera Meek,,J.H. Smith,1961,0,,,41.7,-110.63,,,02/18/2014,Corbula undifera Meek,
3830,USA,WY,Albany,Cretaceous,About middle of Mesaverde Formation,Campanian,,,"N1/2 NE1/4 sec. 11, T. 20 N., R. 75 W.",Inoceramus pertenuis Meek & Hayden,,H. McAndrews,8/1/1962,,Oper Lake North,,41.72764,-105.7775,,,02/18/2014,Inoceramus pertenuis Meek & Hayden,
6456,USA,WY,Albany,Cretaceous,About top of lower thick sandstone of Mesaverde.,Campanian,,,"West of Rex Lake, in the NW¼NW¼NW¼ SE¼ sec.27, T.16N., R.77W., Albany Co., WY",Ethmocardium sp.,,Jame R. Gill,2/4/1968,OF-67-7D,Rex Lake,,41.32621,-106.02323,,,02/18/2014,Ethmocardium sp.,
3331,USA,WY,Carbon,Cretaceous,"Above lowest sandstone in Steele -Mesaverde transition and about 1,000 feet above CS - 21","Campanian, Middle  80.04 MY",,,"CNW1/4 NE1/4  sec. 11, T. 24 N., R. 89 W.","Inoceramus sp., Baculites obtusus Meek",Baculites obtusus,A. D. Zapp,9/19/1961,"OF-61-3D, 5D",,,42.07149,-107.41563,MF-1548,,02/18/2014,"Inoceramus sp., Baculites obtusus Meek",
3115,USA,WY,Weston,Cretaceous,Adaville,Campanian,,,S1/2 Sec. 29 T17N R117W. from Adaville Fm 65' above sandstone Lot 6,Senis sp.,,J.H. Smith,1961,0,,,41.4232,-110.66516,,,02/18/2014,Senis sp.,
3116,USA,WY,,Cretaceous,Adaville,Campanian,,,S1/2 Sec. 29 T17N R117W. from Adaville Fm 130' above sandstone Lot 7,Ostrea soleniscus Meek,,J.H. Smith,1961,0,,,41.4232,-110.66516,,,02/18/2014,Ostrea soleniscus Meek,
2192,USA,WY,,Cretaceous,Adaville Formation,Campanian,,,"Highway cut in the NW1/4 NW1/4 NE1/4 sec. 17, T. 21 N., R. 116 W, Adaville formation, 30 feet above top of Lazeart sandstone member","Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp",,"R. L. Armstrong, D. C. Noble",1959,,,,41.80585,-110.60554,,,02/18/2014,"Ostrea coalvillensis, Anomia gryphorhunchus, Meek, Brachidontes laticostata, Corbicula? Sp Senis sp",
1990,USA,WY,Lincoln,Cretaceous,"Adaville formation, 2,000 feet above base and 800 feet below top.",Campanian,,,"Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W.","Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata",,"J.L. Rau, W. W. Rubey",8/3/1958,,Kemmerer,,41.70408,-110.63838,,,02/18/2014,"Ostrea cf. O. glabra, Anomia cf. A. micronema, Brachidontes sp., Corbicula? Sp., Corbula aff. C. perundata",
1991,USA,WY,Lincoln,Cretaceous,"Adaville formation, 2,300 feet above base and 500 feet below top.",Campanian,,,"Three miles south of Kemmerer quadrangle, in SE1/4 NE1/4 sec. 21, T. 20 N., R. 117 W. Same locality as D1990.",Ostrea soleniscus,,"J.L. Rau, W. W. Rubey",8/3/1958,,Kemmerer,,41.70408,-110.63838,,,02/18/2014,Ostrea soleniscus,
1992,USA,WY,,Cretaceous,"Adaville formation, 680 feet above base.",Campanian,,,"SE1/4 NW1/4 sec.22, T. 20 N., R. 117 W.",Ostrea coalvillensis,,Scott and Schneider,7/23/1958,,,,41.70407,-110.62821,,,02/18/2014,Ostrea coalvillensis,
13607,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Mbr., from a rusty to reddish ferruginous concretionary bed 32' below top",,,,"Beside service road just west of Interstate 25 SW1/4NE1/4SE1/4SW1/4 sec. 1, T. 20 S., R. 65 W.",Ichthyodectes scales,,Cobban,3/11/1995,0,Northwest Pueblo  ,,38.33332,-104.61889,,,02/18/2014,Ichthyodectes scales,
13606,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Mbr., from large yellow-tan ls. Concretions 6.5 feet below top","Campanian, Middle  80.04 MY",,,"Just south of Platteville Boulevard N1/2N1/2SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,3/10/1995,0,Northwest Pueblo  ,,38.33747,-104.62168,,,02/18/2014,Baculites obtusus,
4845,USA,CO,Fremont,Cretaceous,Apache Creek Sandy Member,"Campanian, Middle  80.04 MY",,,"SW¼NW¼SE¼ sec. 9, T. 18S., R.70W.",Baculites obtusus,,G. R. Gill,6/2/1965,,Canon City ,,38.49499,-105.22596,,,02/18/2014,Baculites obtusus,
13608,USA,CO,Pueblo,Upper Cretaceous,"Apache Creek Sandy Member, from orange, ferruginous ls. Concretions 29' below top","Campanian, Middle  80.04 MY",,,"South of Platteville Boulevard at CN1/2SW1/4 sec. 1, T. 20 S., R. 65 W.",Baculites obtusus,,Cobban,3/10/1995,0,Northwest Pueblo  ,,38.33657,-104.62185,,,02/18/2014,Baculites obtusus,
1448,USA,CO,Huerfano,Cretaceous,Apache sandstone Member of Pierre shale.,,,,"Hillside just south of road and on south side of Apache Creek valley 15.7 miles north-northwest of Walsenburg in SE¼SW¼ sec. 27, T. 25 S., R. 67 W.","Inoceramus, Scaphites, Baculites",,"W. A. Cobban, T. G. McLaughlin",5/24/1956,,,,37.83857,-104.8783,,,02/18/2014,"Inoceramus, Scaphites, Baculites",
2936,USA,MT,Cascade,Cretaceous,Apparently in Telegraph Creek formation.,Campanian,,-111.73892,"Approximate C SW1/4NE1/4 sec. 9, T. 17 N., R. 1 W.",Inoceramus lesginensis Dobrov and Pavlova,,K. S. Soward,10/13/1960,0,,Rocky Reef,47.24218,-111.73892,,,02/18/2014,Inoceramus lesginensis Dobrov and Pavlova,
2594,USA,WY,Sweetwater,Cretaceous,Approximately 100-150 feet below top of Rock Springs formation.,Campanian,,,"SE1/4 sec. 14, T. 17 N., R. 105 W., Sweetwater Co., WY.","Ostrea russelli Landes, Cymella montanensis Henderson, Ethmocardium whitei Dall, Legumen ellipticum Conrad, Medionapus? Sp., Baculites haresi Reeside, Placenticeras syrtale (Morton)",,J. H. Smith,1960,0,,,41.44841,-109.21915,,,02/18/2014,"Ostrea russelli Landes, Cymella montanensis Henderson, Ethmocardium whitei Dall, Legumen ellipticum Conrad, Medionapus? Sp., Baculites haresi Reeside, Placenticeras syrtale (Morton)",
3407,USA,WY,Carbon,Cretaceous,Approximately 200 feet above base of tongue of Cody Shale in Mesaverde Formation,Campanian,,,"Somewhere near SW corner sec. 3, T. 35 N., R. 85 W.","Lucina sp., Baculites cf. B. gilberti Cobban",,A. D. Zapp,9/28/1961,"OF-61-3D, 5D",,,43.02813,-107.02429,,,02/18/2014,"Lucina sp., Baculites cf. B. gilberti Cobban",
2597,USA,WY,Sweetwater,Cretaceous,Approximately 325 feet above base of Rock Springs formation.,Campanian,,,"NW1/4 sec. 6, T. 17 N., R. 104 W., Sweetwater Co., WY.","Anomia micronema Meek, Corbula subtrigonalis Meek & Hayden, Corbula undifera Meek, Melania insculpta Meek Wood with mollusk borings",,J. H. Smith,1960,0,,,41.4845,-109.19039,,,02/18/2014,"Anomia micronema Meek, Corbula subtrigonalis Meek & Hayden, Corbula undifera Meek, Melania insculpta Meek Wood with mollusk borings",
2596,USA,WY,Sweetwater,Cretaceous,Approximately 380 feet above base of Rock Springs formation.,Campanian,,,"SE1/4 sec. 6, T. 17 N., R. 104 W., Sweetwater Co., WY.",Corbula undifera Meek,,J. H. Smith,1960,0,,,41.47705,-109.18072,,,02/18/2014,Corbula undifera Meek,
2595,USA,WY,Sweetwater,Cretaceous,"Approximately 900-930 feet below top of Ericson formation, or 2,200 feet above top of a massive sandstone unit (basal Blair sandstone?) in the Mancos shale.",Campanian,,,"SW1/4 sec. 19, T. 12 N., R. 107 W., Sweetwater Co., WY.","Ostrea sp., Corbula undifera Meek, Fish bones and teeth",,J. H. Smith,1960,0,,,41.00285,-109.51824,,,02/18/2014,"Ostrea sp., Corbula undifera Meek, Fish bones and teeth",
7218,USA,UT,Uintah,Cretaceous,Asphalt Ridge Sandstone (150' above D7217),"Campanian, Lower about 80.5 MY",,,"NW1/4NE1/4 sec. 30, T. 4 S., R 21 E.",Baculites sp. (weak flank ribs),,Gill and Burkholder,1969,OF-69-18D,Vernal NE ,,40.44677,-109.60284,,,02/18/2014,Baculites sp. (weak flank ribs),
7232,USA,UT,Uintah,Cretaceous,Asphalt Ridge Sandstone (float),"Campanian, Lower about 80.5 MY",,,"NE1/4NE1/4NE1/4 sec. 25, T. 4 S., R 20 E. at asphalt pit",Baculites sp. (weak flank ribs),,"Gill, Burkholder, Cobban",1969,OF-69-18D,Vernal NE ,,40.44635,-109.61477,,,02/18/2014,Baculites sp. (weak flank ribs),
7217,USA,UT,Uintah,Cretaceous,Asphalt Ridge Sandstone (top),"Campanian, Lower about 80.5 MY",,,"NW1/4NE1/4 sec. 30, T. 4 S., R 21 E.",Baculites sp. (weak flank ribs),,Gill,1969,OF-69-18D,Vernal NE ,,40.44677,-109.60284,,,02/18/2014,Baculites sp. (weak flank ribs),
1675,USA,WY,Washakie,Cretaceous,Associated with bed of bentonite in Cody shale,"Campanian, Middle  80.04 MY",,,"NE¼SW¼ sec. 35, T. 44 N., R. 90 W.","Cymella sp., Baculites aff., B. obtusus",,G. H. Horn,1957,,,,43.73882,-107.62754,,,02/18/2014,"Cymella sp., Baculites aff., B. obtusus",
5303,USA,UT,Kane,Cretaceous,"At head of Rock Creek.  Found in float at base of section, probably from lower sandstone member of straight Cliffs Formation",Campanian,,,"NW¼SE¼SW¼, 32-40-7",Inoceramus,,Fred Peterson,9/1/1964,,Straight Cliffs # 2 ,,37.28611,-111.17484,,,02/18/2014,Inoceramus,
10360,USA,NM,Socorro,Cretaceous,Basal 5' of Mesaverde Fm. ,Campanian,,,"Carthage area, in the NE1/4 SW1/4  sec. 9, T. 5 S. , R. 2 E. Carthage Coal Field Section","Placenticeras cf. stantoni, Placenticeras cumminsi",,C. Smith,"June, 1975",0,Carthage,,33.8718,-106.72358,NM Guidebook 2012,,02/18/2014,Placenticeras cf. stantoni,
3245,USA,WY,Natrona,Cretaceous,Basal ledge of three ledges of Shannon Sandstone Member of Steele Shale.,Campanian,,,"NE1/4 sec. 1, T. 40 N., R. 80 W.",Baculites sp.,,W. A. Cobban,9/16/1960,0,Goverenment Creek,,43.46763,-106.40597,,,02/18/2014,Baculites sp.,
11240,USA,UT,Emery,Cretaceous,Basal part of Blue Gate shale mbr. Of Mancos shale.,,,,"Drill hole in SE 1/4 sec. 1, T. 22 S., R. 6 E.",Baculites sp.,,T.A. Ryer,1980,,Emery East,,38.85512,-111.24743,,,02/18/2014,Baculites sp.,
4174,USA,MT,Meagher,Cretaceous,Basal part of Claggett Formation,Campanian,,,"NW1/4 NE1/4 sec. 17, T. 7 N., R. 9 E.","Ostrea sp., Corbula subtrigonalis Meek & Hayden, Melania? Sp.",,"J. R. Gill, R. Vaughn",7/14/1962,,,Hamen,46.3695,-110.628,,,02/18/2014,"Ostrea sp., Corbula subtrigonalis Meek & Hayden, Melania? Sp.",
9150,USA,MT,Liberty,Cretaceous ,Basal part of Eagle Formation,Campanian,,,"East of East Butte in the SW1/4 NW1/4 sec. 13, T. 36 N., R. 5 E.","Inoceramus sp, Cymbophora? sp, Cymella? sp, Internal molds of small pelecypods and gastropods, Baculites sp ",,D. D. Rice ,7/16/1974,OER-74-18D,Bingham Lake   ,Bingham Lake,48.8797,-111.0238,,,02/18/2014,"Inoceramus sp, Cymbophora? sp, Cymella? sp, Internal molds of small pelecypods and gastropods, Baculites sp ",
11213,USA,MT,Petroleum,Cretaceous,Basal part of Eagle Sandstone ,"Campanian, Lower about 81.7 MY",,,"Sec. 19, T. 13 N., R. 27 E.",Scaphites hippocrepis,Scaphites hippocrepis,D. L. Gautier,1980,0,,Winnett South,46.8816,-108.3422,,,02/18/2014,Scaphites hippocrepis,
3361,USA,WY,Carbon,Cretaceous,Basal part of lowest major cliff - forming sandstone of Mesaverde Formation,Campanian,,,"CNE1/4 sec. 30, T. 13 N., R. 87 W.","Pteria cf. P. haydeni (Hall & Meek), Baculites sp., Acanthoscaphites sp.",,A. D. Zapp,8/26/1961,"OF-61-3D, 5D",,,41.07113,-107.21691,,,02/18/2014,"Pteria cf. P. haydeni (Hall & Meek), Baculites sp., Acanthoscaphites sp.",
3369,USA,WY,Carbon,Cretaceous,Basal part of marine shale overlying lower nonmarine sequence in Mesaverde Formation,Campanian,,,"NW1/4 NE1/4 NE1/4 sec. 28, T. 20 N., R. 78 W.","Anomia sp., Didymoceras sp.",,A. D. Zapp,9/6/1961,"OF-61-3D, 5D",,,41.68383,-106.16077,,,02/18/2014,"Anomia sp., Didymoceras sp.",
1776,USA,MT,Lewis and Clark,Cretaceous,Basal part of Two Medicine formation,Campanian,,," SW1/4 SE1/4 SW1/4 sec. 34, T. 21 N., R. 8 W.","Ostrea sp., Corbula n. sp., Melania? whiteavesi Stanton and Hatcher, Anomia sp., Corbula n.sp",,M. R. Mudge and M.W. Reynolds,6/17/1958,EG-58-24D,,,47.52411,-112.62096,,,02/18/2014,"Ostrea sp., Corbula n. sp., Melania? Whiteavesi, Anomia sp., Corbula n.sp","F-199a, b"
6319,USA,WY,Carbon,Cretaceous,Basal sandstone of Mesaverde Formation (top of unit 10 of section),"Campanian, Middle",,,"Center of SW¼SW¼ sec. 23, T.24 N., R. 89 W",Baculites mclearni Landes,,James R. Gill,8/8/1967,OF-67-7D,Separation Rim,,42.03166,-107.42513,MF-1548,,02/18/2014,Baculites mclearni Landes,
8826,USA,AR,Hemstead,Cretaceous,Base of Annona Chalk of Dane (currently being mappad as Marlbrook by B. J. Clardy & Arkansas. Neol. Comm),Campanian,,,"East side of road and in field just east of road the SW1/4 NE1/4 NW1/4 sec. 8, T. 11 S., R. 26 W","Nostoceras, Baculites ",,"B. J. Clardy, R. E. Burkhholder, W. A. Cobban ",4/10/1973,,Columbua 7-1/2 quad,,33.807,-93.8098,,,02/18/2014,"Nostoceras, Baculites ",
11952,USA,WY,Hot Springs,Cretaceous,Base of Eagle Sandstone ,Campanian,,,"From 0.8 mile due east of Cedar Creek in SE1/4 sec. 5, T. 7 S., R. 2 E., ","Crassostrea sp., ",,R. G. Tysdal,1982,CMR-82-9D,Ennis ,,45.24935,-111.50063,,,02/18/2014,"Crassostrea sp., ",
4634,USA,WY,Park,Cretaceous,Base of Elk Basin Sandstone.,Campanian,,,"NW¼SW¼SE¼ sec. 26, T. 58 N, R. 103 W., Same locality as G64-19-3","Inoceramus sp., Baculites haresi Reeside",,Gill and Cobban,9/21/1964,OF-64-14D,,,44.97414,-109.27089,,,02/18/2014,"Inoceramus sp., Baculites haresi Reeside",
7767,USA,CO ,San Miguel,Cretaceous,Base of Mesaverde Formation ,Campanian,,,"SW1/4 SE1/4 sec. 3, T. 43 N., R. 16 W. (unsurveyed)",Baculites aquilaensis Reeside ,,F. J. James ,9/16/1970,OF-70-9D,Basin,,38.01239,-108.61891,,,02/18/2014,Baculites aquilaensis Reeside ,
8155,USA,CO,Mesa,Cretaceous,"Base of Sharon Springs Member of Mancos Shale,","Campanian, Middle  80.04 MY",,,"Center of the SW1/4SW1/4 sec. 34, T. 9 S, R. 100 W.",Baculites obtusus Meek,,Gill & McHargue,7/21/1971,OF-71-11D,Corcoran Point,,39.22594,-108.54559,OFR 2006-1326,,02/18/2014,Baculites obtusus Meek,
3420,USA,UT,Daggett,Upper Cretaceous,Baxterr Shale (Thin - bedded sandstone in upper part),"Campanian, Lower about 81.7 MY",,GREGORYENSIS,"SW1/4 SW1/4 NE1/4 sec. 22, T. 3 N., R. 21 E.","Inoceramus cf. I. Balticus Boehm, Baculites sp., Scaphites hippocrepis (Dekay) var. crassus Reeside, Haresiceras sp.",Haresiceras,"A. D. Zapp, W. A. Cobban","8/2/61, 8/8/61",OF-61-5D,,,39.49106,-105.08294,"PP 619, PP 454-I",,02/18/2014,"Inoceramus cf. I. Balticus Boehm, Baculites sp., Scaphites hippocrepis (Dekay) var. crassus Reeside, Haresiceras sp.",
6290,USA,WY,Carbon,Cretaceous,Below lowest sandstone in Mesaverde Formation,"Campanian, Lower. about 80.9 MY",,,"NE¼SW¼NE¼ sec. 9, T. 20 N., R. 82 W.",Baculited sp (smooth),,Jame R. Gill,7/29/1967,OF-67-7D,Coal Bank Basin,,41.72311,-106.61895,,,02/18/2014,Baculited sp (smooth),
10151,USA,UT,Emery,Cretaceous ,Blackhawk Formation ,Campanian,,,"Emery West quad., sec. 16, T. 21 S., R. 6 E.","Brachidontes sp., Lucina? sp., Corbula sp., Leptosolen sp.,",,R. M. Flores,1977,Coal-77-1D,Emery West ,,38.99101,-111.25189,,,02/18/2014,"Brachidontes sp., Lucina? sp., Corbula sp., Leptosolen sp.,",
10152,USA,Utah,Emery,Upper Cretaceous ,Blackhawk Formation ,Campanian,,,"sec. 33, T. 21 S., R. 6 E.  ",Crassostrea sp.,,R. M. Flores,1977,Coal-77-1D,Emery West,,38.94681,-111.25202,,,02/18/2014,Crassostrea sp.,
10153,USA,Utah,Emery,Cretaceous ,Blackhawk Formation ,Campanian,,,"Emery West quad., sec. 5, T. 22 S., R. 6 E.  ","Corbula Undifera (Meek), Dircella Insculpta (Meek)",,R. M. Flores,1977,,Emery West,,39.02057,-111.27111,,,02/18/2014,"Corbula Undifera (Meek), Dircella Insculpta (Meek)",
6221,USA,UT,Carbon,Cretaceous,"Blackhawk Formation, 50-60 ft above Sunnyside coal seam",Campanian,,,"Sec. 35, T. 14 s., R. 14 E.","Ostr sp., Anomia micronema Meek, Brachidontes sp., Corbula sp.",,Jonh O. Maberry,1967,EG-68-1D,Sunnyside,,39.56224,-110.31649,,,02/18/2014,"Ostr sp., Anomia micronema Meek, Brachidontes sp., Corbula sp.",
4926,USA,WY,Sweetwater,Cretaceous,"Blair Fm.,  from upper part.",Campanian,,,"NW¼NW¼SW¼sec. 5, T. 18N., R. 104W.",Pelecypods,,E. A. Merewether,7/9/1965,,,,41.56627,-109.17503,,,02/18/2014,Pelecypods,
4927,USA,WY,Sweetwater,Cretaceous,"Blair Fm.,  from upper part.",Campanian,,,"SE¼SE¼NE¼sec. 6, T. 18N., R. 104W.",Baculites aquilaensis,,J. R. Gill,7/9/1965,,,,41.5678,-109.1775,,,02/18/2014,Baculites aquilaensis,
8024,USA,UT ,Garfield,Cretaceous,"Blue Gate Shale, from calcareous shale about 600 ft above base ",,,,"Northwest side of Swap Canyon along Waterpocket in the NE1/4 NW1/4 SE1/4 sec. 10, T. 34 S., R. 8 E.",Scaphites sp.,,Fred Peterson,1971,CD-71-16D,Wagon Box Mesa ,,37.86547,-111.00961,,,02/18/2014,Scaphites sp.,
8026,USA,UT ,Garfield,Cretaceous,"Blue Gate Shale, from calcareous shale about 900 ft above base ",,,,"Northwest side of Swap Canyon in the center of E1/2 SW1/4 NE1/4 sec. 10, T. 34 S., R. 8 E.",Inoceramus aff. I. balticus Boehm ,,Fred Peterson,1971,CD-71-16D,Wagon Box Mesa,,37.86836,-111.01211,,,02/18/2014,Inoceramus aff. I. balticus Boehm ,
3335,USA,WY,Carbon,Cretaceous,Brown - weathering limestone concretions in lower part of upper tongue of Cody Shale of Weimer and Guyton,Campanian,,,"NE1/4 NE1/4  sec. 29, T. 27 N., R. 89 W.","Nuculana evansi (Meek & Hayden), Inoceramus cf. I. Incurvatus Meek & Hayden, Anomia sp.",,"A. D. Zapp, W. A. Cobban",8/6/1961,"OF-61-3D, 5D",,,42.28839,-107.48653,,,02/18/2014,"Nuculana evansi (Meek & Hayden), Inoceramus cf. I. Incurvatus Meek & Hayden, Anomia sp.",
3419,USA,WY,,Cretaceous,Buff 6 - to 8 - foot sandstone above coaly unit and about 100 feet below top of Rock Springs Formation,Campanian,,,"N1/2 sec. 23, T. 17 N., R. 105 W.","Ethmocardium ursaniense Landes, Baculites sp.",,"A. D. Zapp, W. A. Cobban",8/7/1961,"OF-61-3D, 5D",,,41.44147,-109.22439,,,02/18/2014,"Ethmocardium ursaniense Landes, Baculites sp.",
2238,USA,MT,Meagher,Cretaceous,Cardium sandstone. Top of Eagle sandstone,Campanian,,,"About 100 feet east of road and about 525 feet south of NW cor. Sec. 23, T. 9 N., R. 11 E.,  Top of Eagle sandstone","Cardium (Ethmocardium), Pteria n. sp. Linquaeformis, Pteria (Oxytoma) nebrascana, Cardium (Ethmocardium) whitei",,"W. J. McMannis, C. E. Erdmann",10/26/1959,,,,46.53287,-110.31476,,,02/18/2014,"Cardium (Ethmocardium), Pteria n. sp. Linquaeformis, Pteria (Oxytoma) nebrascana, Cardium (Ethmocardium) whitei",
10200,USA,MT,Powell,Cretaceous,Carten Creek Fm.,,,,"North side of Highway 10 N., 7.7 km east of Garrison, NE1/4 NW1/4 sec. 15, T. 9 N., R. 9 W. Probably the same level as D10161","Cardium n. sp., horizontal burrows",,W.A. Cobban,1977,CEG-77-17D,,,46.538,-112.71693,,,02/18/2014,Cardium n. sp.,77-K-25
12353,USA,MT,Powell,Cretaceous,Carten Creek Formation?,,,,"SE1/4 SE1/4 sec. 17, T. 10 N., R. 11 W.","Cymbophora arenaria (Meek)?, Internal molds of other small marine bivalves",,R. G. Tysdal,1983,CMR-83-14D,Drummond ,,46.61596,-113.00043,,,02/18/2014,"Cymbophora arenaria (Meek)?, Internal molds of other small marine bivalves",
5005,USA,WY,Natrona,Cretaceous,"Cody Sh., 35' below top of Shannon sandstone Mbr.",Campanian,,,"NW¼NW¼ sec. 34, T. 40 N., R. 79 W. Salt Creek oil field",Baculites,,J. R. Gill,9/15/1965,,MIdwest,,43.39706,-106.32865,PP 550 B,,02/18/2014,Baculites,
